date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:45:08	13518/13518	---M--	200	added ('OK')	text/css	etag:%2234ce-59becb404691a%22	http://localhost/wpShop.com/wp-content/uploads/elementor/css/post-340.css?ver=1578815818	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-content/uploads/elementor/css/post-340ca39.css	(from http://localhost/wpShop.com/)
13:45:08	5350/5350	---M--	200	added ('OK')	text/css	etag:%2214e6-59becc93f8029%22	http://localhost/wpShop.com/wp-content/uploads/elementor/css/post-549.css?ver=1578816174	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-content/uploads/elementor/css/post-5496dc5.css	(from http://localhost/wpShop.com/)
13:45:08	54540/54540	---M--	200	added ('OK')	text/css	etag:%22d50c-59bb6422048c4%22	http://localhost/wpShop.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.9.0	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.minad76.css	(from http://localhost/wpShop.com/)
13:45:10	660/660	---M--	200	added ('OK')	text/css	etag:%22294-59bb6421fdc2d%22	http://localhost/wpShop.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.9.0	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.minad76.css	(from http://localhost/wpShop.com/)
13:45:11	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%222748-5333ff613c400%22	http://localhost/wpShop.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://localhost/wpShop.com/)
13:45:12	838/838	---M--	200	added ('OK')	text/xml	date:Sat,%2025%20Jan%202020%2005:45:10%20GMT	http://localhost/wpShop.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/xmlrpc0db0.php	(from http://localhost/wpShop.com/)
13:45:12	14974/14974	---M--	200	added ('OK')	application/javascript	etag:%223a7e-59bb64222bced%22	http://localhost/wpShop.com/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js?ver=2.8.3	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.minf7ff.js	(from http://localhost/wpShop.com/)
13:45:12	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-4ed4785da9bc0%22	http://localhost/wpShop.com/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-includes/wlwmanifest.xml	(from http://localhost/wpShop.com/)
13:45:14	96873/96873	---M--	200	added ('OK')	application/javascript	etag:%2217a69-5890dc7401880%22	http://localhost/wpShop.com/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-includes/js/jquery/jquery4a5f.js	(from http://localhost/wpShop.com/)
13:45:18	2216/2216	---M--	200	added ('OK')	application/json	date:Sat,%2025%20Jan%202020%2005:45:12%20GMT	http://localhost/wpShop.com/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2FwpShop.com%2F	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/index.php/wp-json/oembed/1.0/embed5602.json	(from http://localhost/wpShop.com/)
13:45:20	2310/2310	---M--	200	added ('OK')	text/xml	date:Sat,%2025%20Jan%202020%2005:45:18%20GMT	http://localhost/wpShop.com/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2FwpShop.com%2F&format=xml	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/index.php/wp-json/oembed/1.0/embed0806	(from http://localhost/wpShop.com/)
13:45:20	854/854	---M--	200	added ('OK')	image/png	etag:%22356-59bb666c90ceb%22	http://localhost/wpShop.com/wp-content/uploads/2020/01/life-coach-flower-logo.png	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-content/uploads/2020/01/life-coach-flower-logo.png	(from http://localhost/wpShop.com/)
13:45:21	778/778	---M--	200	added ('OK')	image/png	etag:%2230a-59bb67286758e%22	http://localhost/wpShop.com/wp-content/uploads/elementor/thumbs/icon01-free-img-ojf4i4fvpjug2cydbneknzoyf8bg587s66iqp5r1i0.png	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-content/uploads/elementor/thumbs/icon01-free-img-ojf4i4fvpjug2cydbneknzoyf8bg587s66iqp5r1i0.png	(from http://localhost/wpShop.com/)
13:45:21	635/635	---M--	200	added ('OK')	image/png	etag:%2227b-59bb67286d783%22	http://localhost/wpShop.com/wp-content/uploads/elementor/thumbs/icon02-free-img-ojf4ib0r1e3gbmot988yng16kxf0n3xwj33523haag.png	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-content/uploads/elementor/thumbs/icon02-free-img-ojf4ib0r1e3gbmot988yng16kxf0n3xwj33523haag.png	(from http://localhost/wpShop.com/)
13:45:21	577/577	---M--	200	added ('OK')	image/png	etag:%22241-59bb6728700a9%22	http://localhost/wpShop.com/wp-content/uploads/elementor/thumbs/icon03-free-img-ojf4igns6eb69agmcaoq2ely58n7xakajv01xr8x94.png	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-content/uploads/elementor/thumbs/icon03-free-img-ojf4igns6eb69agmcaoq2ely58n7xakajv01xr8x94.png	(from http://localhost/wpShop.com/)
13:45:24	60451/60451	---MC-	200	added ('OK')	text/html	date:Sat,%2025%20Jan%202020%2005:45:21%20GMT	http://localhost/wpShop.com/index.php/about/	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/index.php/about/index.html	(from http://localhost/wpShop.com/)
13:45:24	24741/24741	---M--	200	added ('OK')	text/css	etag:%2260a5-59bb655381512%22	http://localhost/wpShop.com/wp-content/plugins/wpforms-lite/assets/css/wpforms-base.css?ver=1.5.7	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-content/plugins/wpforms-lite/assets/css/wpforms-base00e2.css	(from http://localhost/wpShop.com/)
13:45:29	70595/70595	---MC-	200	added ('OK')	text/html	date:Sat,%2025%20Jan%202020%2005:45:25%20GMT	http://localhost/wpShop.com/index.php/work-with-me/	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/index.php/work-with-me/index.html	(from http://localhost/wpShop.com/)
13:45:31	10335/10335	---M--	200	added ('OK')	application/javascript	etag:%22285f-59bb63b4e91c9%22	http://localhost/wpShop.com/wp-content/themes/astra/assets/js/minified/style.min.js?ver=2.2.1	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-content/themes/astra/assets/js/minified/style.min77e6.js	(from http://localhost/wpShop.com/)
13:45:34	79390/79390	---MC-	200	added ('OK')	text/html	date:Sat,%2025%20Jan%202020%2005:45:31%20GMT	http://localhost/wpShop.com/index.php/books/	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/index.php/books/index.html	(from http://localhost/wpShop.com/)
13:45:36	9566/9566	---M--	200	added ('OK')	application/javascript	etag:%22255e-59bb6524e0a51%22	http://localhost/wpShop.com/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.70	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min44fd.js	(from http://localhost/wpShop.com/)
13:45:39	62822/62822	---M--	200	added ('OK')	image/jpeg	etag:%22f566-59becaed6e8bc%22	http://localhost/wpShop.com/wp-content/uploads/elementor/thumbs/bukhara-ojjtigt2owbgch5zv9r3cydukg3wgyzu4kmmiv0ne8.jpeg	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-content/uploads/elementor/thumbs/bukhara-ojjtigt2owbgch5zv9r3cydukg3wgyzu4kmmiv0ne8.jpg	(from http://localhost/wpShop.com/)
13:45:39	55765/55765	---MC-	200	added ('OK')	text/html	date:Sat,%2025%20Jan%202020%2005:45:36%20GMT	http://localhost/wpShop.com/index.php/contact/	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/index.php/contact/index.html	(from http://localhost/wpShop.com/)
13:45:39	73382/73382	---M--	200	added ('OK')	image/jpeg	etag:%2211ea6-59bec7bc6caa6%22	http://localhost/wpShop.com/wp-content/uploads/2020/01/IMG_20190917_095105_761.jpg	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-content/uploads/2020/01/IMG_20190917_095105_761.jpg	(from http://localhost/wpShop.com/)
13:45:40	2750/2750	---M--	200	added ('OK')	application/javascript	etag:%22abe-59bb6524a05c3%22	http://localhost/wpShop.com/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=3.8.1	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min7e2e.js	(from http://localhost/wpShop.com/)
13:45:40	1846/1846	---M--	200	added ('OK')	application/javascript	etag:%22736-59bb65253d5e6%22	http://localhost/wpShop.com/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min.js?ver=2.1.4	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min6b25.js	(from http://localhost/wpShop.com/)
13:45:40	1472/1472	---M--	200	added ('OK')	application/javascript	etag:%225c0-59bb6524d8159%22	http://localhost/wpShop.com/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min.js?ver=3.8.1	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min7e2e.js	(from http://localhost/wpShop.com/)
13:45:40	2940/2940	---M--	200	added ('OK')	application/javascript	etag:%22b7c-59bb6524a92c5%22	http://localhost/wpShop.com/wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min.js?ver=3.8.1	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min7e2e.js	(from http://localhost/wpShop.com/)
13:45:42	1399/1399	---M--	200	added ('OK')	application/javascript	etag:%22577-5942f1cbbd980%22	http://localhost/wpShop.com/wp-includes/js/wp-embed.min.js?ver=5.3.2	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-includes/js/wp-embed.min9dff.js	(from http://localhost/wpShop.com/)
13:45:45	6482/6482	---M--	200	added ('OK')	application/javascript	etag:%221952-59430f471e800%22	http://localhost/wpShop.com/wp-includes/js/jquery/ui/position.min.js?ver=1.11.4	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-includes/js/jquery/ui/position.mine899.js	(from http://localhost/wpShop.com/)
13:45:45	91261/91261	---MC-	200	added ('OK')	text/html	date:Sat,%2025%20Jan%202020%2005:45:40%20GMT	http://localhost/wpShop.com/index.php/cart/	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/index.php/cart/index.html	(from http://localhost/wpShop.com/)
13:45:46	10681/10681	---M--	200	added ('OK')	application/javascript	etag:%2229b9-59bb64217e593%22	http://localhost/wpShop.com/wp-content/plugins/elementor/assets/lib/dialog/dialog.min.js?ver=4.7.3	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-content/plugins/elementor/assets/lib/dialog/dialog.minfe9d.js	(from http://localhost/wpShop.com/)
13:45:47	12198/12198	---M--	200	added ('OK')	application/javascript	etag:%222fa6-59bb6422fb1e4%22	http://localhost/wpShop.com/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from http://localhost/wpShop.com/)
13:45:52	59625/59625	---M--	200	added ('OK')	application/javascript	etag:%22e8e9-59bb6421344b4%22	http://localhost/wpShop.com/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=2.8.3	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-content/plugins/elementor/assets/js/frontend-modules.minf7ff.js	(from http://localhost/wpShop.com/)
13:45:56	24368/24368	---M--	200	added ('OK')	application/javascript	etag:%225f30-59bb6554c3c3a%22	http://localhost/wpShop.com/wp-content/plugins/wpforms-lite/assets/js/jquery.validate.min.js?ver=1.19.0	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-content/plugins/wpforms-lite/assets/js/jquery.validate.minb3a6.js	(from http://localhost/wpShop.com/)
13:45:57	4014/4014	---M--	200	added ('OK')	application/javascript	etag:%22fae-59bb6554cb91b%22	http://localhost/wpShop.com/wp-content/plugins/wpforms-lite/assets/js/mailcheck.min.js?ver=1.1.2	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-content/plugins/wpforms-lite/assets/js/mailcheck.mincfa9.js	(from http://localhost/wpShop.com/)
13:46:02	94508/94508	---M--	200	added ('OK')	application/javascript	etag:%221712c-59bb64214d049%22	http://localhost/wpShop.com/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=2.8.3	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-content/plugins/elementor/assets/js/frontend.minf7ff.js	(from http://localhost/wpShop.com/)
13:46:03	1676/1676	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2268c-59bb6523b0bff%22	http://localhost/wpShop.com/wp-content/plugins/woocommerce/assets/fonts/star.eot	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-content/plugins/woocommerce/assets/fonts/star.eot	(from http://localhost/wpShop.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce.min.css?ver=2.2.1)
13:46:04	1676/1676	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2268c-59bb6523b0bff%22	http://localhost/wpShop.com/wp-content/plugins/woocommerce/assets/fonts/star.eot?	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-content/plugins/woocommerce/assets/fonts/stard41d.eot	(from http://localhost/wpShop.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce.min.css?ver=2.2.1)
13:46:04	1304/1304	---M--	200	added ('OK')	font/woff	etag:%22518-59bb6523b464a%22	http://localhost/wpShop.com/wp-content/plugins/woocommerce/assets/fonts/star.woff	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-content/plugins/woocommerce/assets/fonts/star.woff	(from http://localhost/wpShop.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce.min.css?ver=2.2.1)
13:46:05	1512/1512	---M--	200	added ('OK')	font/ttf	etag:%225e8-59bb6523b2adf%22	http://localhost/wpShop.com/wp-content/plugins/woocommerce/assets/fonts/star.ttf	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-content/plugins/woocommerce/assets/fonts/star.ttf	(from http://localhost/wpShop.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce.min.css?ver=2.2.1)
13:46:05	50841/50841	---M--	200	added ('OK')	application/javascript	etag:%22c699-59bb655503af5%22	http://localhost/wpShop.com/wp-content/plugins/wpforms-lite/assets/js/wpforms.js?ver=1.5.7	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-content/plugins/wpforms-lite/assets/js/wpforms00e2.js	(from http://localhost/wpShop.com/)
13:46:05	929/929	---M--	200	added ('OK')	image/svg+xml	etag:%223a1-59bb6523b13c0%22	http://localhost/wpShop.com/wp-content/plugins/woocommerce/assets/fonts/star.svg	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-content/plugins/woocommerce/assets/fonts/star.svg	(from http://localhost/wpShop.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce.min.css?ver=2.2.1)
13:46:06	125578/125578	---M--	200	added ('OK')	application/javascript	etag:%221ea8a-59bb6422ee631%22	http://localhost/wpShop.com/wp-content/plugins/elementor/assets/lib/swiper/swiper.min.js?ver=4.4.6	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-content/plugins/elementor/assets/lib/swiper/swiper.min4f24.js	(from http://localhost/wpShop.com/)
13:46:07	14280/14280	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2237c8-59bb6523b61ab%22	http://localhost/wpShop.com/wp-content/plugins/woocommerce/assets/fonts/WooCommerce.eot	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-content/plugins/woocommerce/assets/fonts/WooCommerce.eot	(from http://localhost/wpShop.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce.min.css?ver=2.2.1)
13:46:08	14176/14176	---M--	200	added ('OK')	font/woff	etag:%223760-59bb6523bbb6b%22	http://localhost/wpShop.com/wp-content/plugins/woocommerce/assets/fonts/WooCommerce.woff	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-content/plugins/woocommerce/assets/fonts/WooCommerce.woff	(from http://localhost/wpShop.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce.min.css?ver=2.2.1)
13:46:08	46770/46770	---M--	200	added ('OK')	image/svg+xml	etag:%22b6b2-59bb6523b8670%22	http://localhost/wpShop.com/wp-content/plugins/woocommerce/assets/fonts/WooCommerce.svg	C:/My%20Web%20Sites/wpshop/localhost/wpShop.com/wp-content/plugins/woocommerce/assets/fonts/WooCommerce.svg	(from http://localhost/wpShop.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce.min.css?ver=2.2.1)
